Infinitiv,Präsens,Präteritum,Perfekt
abbiegen,biegt ab,bog ab,ist abgebogen
abfahren,fährt ab,fuhr ab,ist abgefahren
abfAliegen,fliegt ab,flog ab,ist abgeflogen
abgeben,gibt ab,gab ab,hat abgegeben
abhängen,hängt ab,hing ab,hat abgehangen
abheben,hebt ab,hob ab,hat abgehoben
abnehmen,nimmt ab,ab nahm ab,hat abgenommen
abschließen,schließt alb,schloss,hat abgeschlossen
abwaschen,wäscht ab,wusch ab,hat abgewaschen
anbieten,bietet an,bot an,hat angeboten
anerkennen,erkennt an,erkanntean,hat anerkannt
anfangen,fängt an,fing an,hat angefangen
angehen,geht an,ging an,ist angegangen
angeben,gibt an,gaban,hat angegeben
anhaben,hat an,hatte an,hat angehabt
ankommen,kommt an,kam an,ist angekommen
annehmen,nimmtan,nahm an,hat angenommen
anrufen,ruft an,rief an,hat angerufen
anschließen,schließt an,schloss an,hat angeschlossen
ansehen,sieht an,sah an,hat angesehen
ansprechen,spricht an,sprach an,hat angesprochen
anwenden,wendet an,wendete (wandte),hat an angewendet (angewandt)
anziehen,zieht an,zog an,hat angezogen
auffallen,fällt auf,fiel auf,ist aufgefallen
aufgeben,gibt auf,gab auf,hat aufgegeben
aufhalten,hält auf,hlelt auf,hat aufgehalten
aufheben,hebt auf,hob auf,hat aufgehoben
aufnehmen,nimmt auf,nahm auf,hat aufgenommen
aufschreiben,schreibt auf,schrieb auf,hat aufgeschrieben
aufstehen,steht auf,standauf,ist aufgestanden
auftreten,tritt auf,trat auf,ist aufgetreten
ausfallen,fällt aus,fel aus,ist ausgefallen
ausgeben,gibt aus,gab aus,hat ausgegeben
ausgehen,gehtaus,ging aus,ist ausgegangen
ausschließen,schließt aus,schloss aus,hat ausgeschlossen
aussehen,sieht aus,sahaus,hat ausgesehen
aussprechen,spricht aus,sprach aus,hat ausgesprochen
aussteigen,steigt aus,stieg aus,ist ausgestiegen
ausziehen,zieht aus,zog aus,hat/ist ausgezogen
backen,backt (bäckt),backte(buk),hat gebacken
sich befinden,befindet sich,befand sich,hat sich befunden
beginnen,beginnt,begann,hat begonnen
behalten,behält,behielt,hat behalten
bekanntgeben,bekannt gibt,gab bekannt,hat bekannt gegeben
bekommen,bekommt,bekam,hat bekommen
beraten,berät,beriet,hat beraten
beschließen,beschließt,beschloss,hat beschlossen
beschreiben,beschreibt,beschrieb,hat beschrieben
besitzen,besitzt,besaß,hat besessen
besprechen,bespricht,besprach,hat besprochen
bestehen,besteht,bestand,hat bestanden
betragen,beträgt,betrug,hat betragen
betrügen,betrügt,betrog,hat betrogen
beweisen,beweist,bewies,hat bewiesen
sich bewerben,bewirbt sich,bewarb sich,hat sich beworben
beziehen sich,bezieht sich,bezog sich,hat sich bezogen
bieten,ietet,bot,hat geboten
bitten,bittet,bat,hat gebeten
bleiben,,blieb,ist geblieben
braten,brät,briet,hat gebraten
brechen,bricht,brach,hat gebrochen
brennen,brennt,brannte,hat gebrannt
bringen,bringt,brachte,hat gebracht
denken,denkt,dachte,hat gedacht
dürfen,darf,durfte,hat gedurft/därfen
einbrechen,bricht ein,brach ein,ist eingebrochen
einfallen,fällt ein,fiel ein,ist eingefallen
einladen,lädt ein,lud ein,hat eingeladen
einnehmen,nimmt ein,nahm ein,hat eingenommen
einschlafen,schläftein,schliefein,ist eingeschlafen
einsteigen,steigt ein,stiegein,ist eingestiegen
eintragen,trägt ein,trug ein,hat eingetragen
eintreten,tritt ein,trat ein,ist eingetreten
einziehen,zieht ein,zog ein,ist eingezogen
empfangen,empfängt,empfing,hat empfangen
empfehlen,emphehlt,empfahl,hat empfohlen
entgegenkommen,kommt entgegen,kam entgegen,ist entgegengekommen
enthalten,enthält,enthielt,hat enthalten
entlassen,entlässt,entließ,hat entlassen
entscheiden,entscheidet,entschied,hat entschieden
sich entschließen,entschließt sich,entschloss sich,hat sich entschlossen
entstehen,entsteht,entstand,ist entstanden
erfahren,erfährt,erfuhr,hat erfahren
erfinden,erfindet,erfand,hat erfunden
erhalten,erhält,erhlelt,hat erhalten
erkennen,erkennt,erkannte,hat erkannt
erscheinen,erscheint,erschien,ist erschienen
erschrecken,erschrickt,erschrak,ist erschrocken
erziehen,erzieht,erzog,hat erzogen
essen,isst,aß,hat gegessen
fahren,fährt,fuhr,gefahren* ist/hat
fallen,fällt,fiel,ist gefallen
fangen,fängt,fing,hat gefangen
fernsehen,sieht fern,sahfern,hat ferngesehen
festhalten,hält fest,hieltfest,hat festgehalten
festnehmen,nimmt fest,nahm fest,hat festgenommen
finden,findet,fand,hat gefunden
fliegen,fliegt,flog,geflogen** ist/hat
fliehen,flieht,floh,ist geflohen
fließen,fließt,floss,ist geflossen
fressen,frisst,fraß,hat gefressen
frieren,friert,fror,hat gefroren
geben,gibt,gab,hat gegeben
gefallen,gefällt,gefiel,hat gefallen
gehen,geht,ging,ist gegangen
gelingen,gelingt,gelang,ist gelungen
gelten,gilt,galt,hat gegoten
geschehen,geschieht,geschah,ist geschehen
gewinnen,gewinnt,gewann,hat gewonnen
gießen,gießt,goss,hat gegossen
greifen,greift,griff,hat gegriffen
haben,hat,hatte,hat gehabt
halten,hält,hielt,hat gehalten
hängen,hängt,hing,hat gehangen
heben,hebt,hob,hat gehoben
heißen,heißt,hieß,hat geheißen
helfen,hilft,half,hat geholfen
(he)raushnden,findet (he)raus,fand (he)raus,hat (he)rausgefunden
(he)runterladen,lädt (he)runter,(he)runter lud,hat (he)runtergeladen
(he)runterfahren,fährt (he)runter,fuhr (he)runter,hat(he)runtergefahren
hinterlassen,hinterlässt,hinterließ,hat hinterlassen
hinweisen,weist hin,wies hin,hat hingewiesen
kennen,kennt,kannte,hat gekannt
klingen,klingt,klang,hat geklungen
kommen,kommt,kam,ist gekommen
können,kann Präsens,konnte Präteritum,hat gekonnt/können Perfekt
krankschreiben,schreibt krank,schriebkrank,hat krankgeschrieben
lassen,lässt,ließ,hat gelassen
laufen,läuft,lief,ist gelaufen
leiden,leidet,litt,hat gelitten
leidtun,leid tut,tat leid,hat leidgetan
leihen,leiht,lieh,hat geliehen
lesen,liest,las,hat gelesen
liegen,liegt,lag,hat gelegen
losfahren,fahrt los,fuhr los,ist losgefahren
lügen,lügt,log,hat gelogen
messen,misst,maß,hat gemessen
missverstehen,missversteht,missverstand,hat missverstanden
mögen,mag,mochte,hat gemocht
müssen,,musste,hat gemusst/müssen
nachschlagen,nach schligt,nach schlug,hat nachgeschlagen
nehmen,nimmt,nahn,hat genommen
nennen,nennt,nannte,hat genannt
raten,rät,riet,hat geraten
reiten,reitet,ritt,ist/hat geritten**
rennen,rennt,rannte,ist gerannt
riechen,riecht,,hat gerochen
rufen,ruft,rief,hat gerufen
scheiden,scheidet,schted,hat geschieden
scheinen,scheint,schien,hat geschienen
schieben,schiebt,schob,hat geschoben
schießen,schießt,schoss,hat geschossen
schlafen,schläft,schlief,hat geschiafen
schlagen,schlägt,schlug,hat geschlagen
schließen,schließt,schloss,hat geschlossen
schneiden,schneidet,schnitt,hat geschnitten
schreiben,schreibt,schrieb,hat geschrieben
schreien,schreit,schrie,hat geschrien
schweigen,schweigt,schwieg,hat geschwiegen
schwimmen,schwimmt,schwamm,geschwommen ist/hat
sehen,sieht,sah,hat gesehen
sein,ist,war,ist gewesen
senden,sendet,sendete (sandte),hat gesendet (gesandt)
singen,singt,sang,hat gesungen
sinken,sinkt,sank,ist gesunken
sitzen,sitzt,saß,hat gesessen
sollen,soll,sollte,hat gesollt/sollen
sprechen,spricht,sprach,hat gesprochen
springen,springt,sprang,ist gesprungen
stattfnden,fndet statt,fand statt,hat stattgefunden
stehen,steht,stand,hat gestarnden
stehlen,stiehlt,stahl,hat gestohlen
steigen,steigt,stieg,ist gestiegen
sterben,stirbt,starb,ist gestorben
stinken,stinkt,stank,hat gestunken
stoßen,stößt,stieß,gestoßen* hat/ist
streichen,streicht,strich,hat gestrichen
streiten,streitet,stritt,hat gestritten
teilnehmen,nimmt teil,nahm teil,hat teilgenommen
tragen,trägt,trug,hat getragen
treffen,trifft,traf,hat getroffen
treiben,treibt,trieb,getrieben* hat/ist
treten,tritt,trat,getreten** hat/ist
trinken,trinkt,trank,hat getrunken
tun,tut,tat,hat getan
überfahren,überfährt,überfuhr,hat überfahren
übernehmen,übernimmt,übernahm,hat übernommen
übertragen,äbertragt,übertrug,hat übertragen
übertreiben,übertreibt,übertrieb,hat übertrieben
überweisen,überweist,überwies,hat überwiesen
un steigen,steigt um,stieg um,ist umgestiegen
umziehen,zieht urn,zog um,ist umgezogen
unterbrechen,unterbricht,unterbrach,hat unterbrochen
unterhalten sich,unterhält sich,unterhlelt sich,hat sich unterhalten
unternehmen,unternimmt,unternahm,hat unternommen
unterscheiden,unterscheidet,unterschied,hat unterschieden
unterschreiben,unterschreibt,unterschrieb,hat unterschrieben
unterstreichen,unterstreicht,unterstrich,hat unterstrichen
verbieten,verbietet,verbot,hat verboten
verbinden,verbindet,verband,hat verbunden
verbrennen,verbrennt,verbrannte,hat verbrannt
verbringen,verbringt,verbrachte,hat verbracht
vergessen,vergisst,vergaß,hat vergessen
vergleichen,vergleicht,verglich,hat verglichen
sich verhalten,sich verhält,sich verhielt,hat sich verhalten
verlassen,verlässt,verließ,hat verlassen
sich verlaufen,verläuft sich,verliefsich,hat sich verlaufen
verleihen,verleiht,verlieh,hat verliehen
verlieren,verliert,verlor,hat verloren
vermeiden,vermeidet,vermied,hat vermieden
verraten,verät,veriet,hat verraten
verschieben,verschiebt,verschob,hat verschoben
verschreiben,verschreibt,verschrieb,hat verschrieben
verschwinden,verschwindet,verschwand,ist verschwunden
versprechen,verspricht,versprach,hat versprochen
verstehen,versteht,verstand,hat verstanden
vertreten,vertritt,vertrat,hat vertreten
verzeihen,verzeiht,verzieh,hat verziehen
vorhaben,hat vor,hatte vor,hat vorgehabt
vorkommen,kommt vor,kam vor,ist vorgekommen
vorlesen,liest vor,las vor,hat vorgelesen
vornehmen sich,nimmt vor sich,nahm vor sich,hat vorgenommen sich
vorschlagen,schlägt vor,schlug vor,hat vorgeschlagen
vorziehen,zieht vor,Zog vor,hat vorgezogen
wachsen,wächst,wuchs,ist gewachsen
waschen,wäscht,wusch,hat gewaschen
wehtun,tut weh,tat weh,hat wehgetan
werden,wird,wurde,ist geworden
werfen,wirft,warf,hat geworfen
widersprechen,widerspricht,widersprach,hat widersprochen
wiegen,wiegt,wOg,hat gewogen
wissen,weiß,wusste,hat gewusst
wollen,will,wollte,hat gewollt/wollen
ziehen,zieht,zog,gezogen* hat/ist
zugehen,geht zu,ging zu,ist zugegangen
zulassen,lässt zu,ließ zu,hat zugelassen
zunehmen,nimmt zu,nahm zu,hat zugenommen
zurechtkommen,kommt zurecht,kam zurecht,ist zurechtgekommen
zwingen,zwingt,zwang,hat gezwungen
